,STNCode,Name of Monitoring Location,Type of Water Body,State Name,Temperature Min⁰C,Temperature Max⁰C,Dissolved Oxygen(mg/L)Min,Dissolved Oxygen(mg/L)Max,pH Min,pH Max,Conductivity(μmhos/cm)Min,Conductivity(μmhos/cm)Max,BOD(mg/L)Min,BOD(mg/L)Max,NitrateN+NitriteN(mg/L)Min,NitrateN+NitriteN(mg/L)Max,FecalColiform(MPN/100ml)Min,FecalColiform(MPN/100ml)Max,TotalColiform(MPN/100ml)Min,TotalColiform(MPN/100ml)Max,Year
0,1790.0,"PULICATE LAKE , NELLORE DIST",LAKE,"ANDHRA
PRADESH",21.0,26.0,3.8,4.8,7.0,8.4,18830.0,57090.0,2.2,2.8,0.74,1.45,3.0,3.0,75.0,210.0,2020
1,2353.0,"KONDAKARLA AAVA LAKE, PARAWADA PHARMA CITY,
VISHAKHAPATNAM",LAKE,ANDHRA PRADESH,25.0,28.0,3.6,6.8,7.1,8.3,580.0,890.0,2.4,4.8,1.03,4.52,15.0,23.0,150.0,460.0,2020
2,4368.0,"KOLLERU LAKE KOKKIRAYALANKA (V),
KAILALUR (M)",LAKE,ANDHRA PRADESH,23.0,29.0,0.5,5.4,6.8,8.4,675.0,13800.0,1.7,6.2,1.3,8.62,11.0,23.0,150.0,1100.0,2020
3,4391.0,"CHENGAMBAKAM TANK IN SRI
CITY SEZ, TIRUPATHI",TANK,"ANDHRA
PRADESH",26.0,30.0,5.3,6.7,6.4,7.6,206.0,670.0,0.8,2.5,0.11,3.3,47.0,200.0,210.0,600.0,2020
4,1529.0,"DEEPAR BEEL, ASSAM",LAKE,ASSAM,18.0,35.0,7.2,10.2,7.3,8.0,188.0,240.0,2.1,3.8,1.0,1.8,300.0,910.0,720.0,1500.0,2020
5,2205.0,"MER BEEL AT MADHABPUR, ASSAM",LAKE,ASSAM,20.0,28.0,4.2,6.8,6.8,7.6,25.0,140.0,1.1,2.4,0.6,1.0,300.0,360.0,720.0,1400.0,2020
6,2206.0,"DALONI BEEL NEAR
JOGIGHOPA, ASSAM",LAKE,ASSAM,22.0,34.0,4.1,5.4,7.0,8.1,43.0,67.0,1.1,2.4,0.4,1.1,2.0,360.0,300.0,910.0,2020
7,2218.0,"DEEPAR BEEL AT BORAGAON NEAR IASST, GUWAHATI,
ASSAM",LAKE,ASSAM,18.0,32.0,4.5,11.2,7.1,8.0,189.0,244.0,2.8,3.9,1.2,2.0,300.0,730.0,360.0,1500.0,2020
8,3785.0,"BORBEEL NO. 1 , RAM NAGAR, DIGBOI, PUBLIC WATER
SUPPLY, TINSUKIA",LAKE,ASSAM,24.0,25.0,0.3,0.3,7.3,7.4,177.0,273.0,1.1,2.3,0.7,0.7,2.0,2.0,2.0,2.0,2020
9,3787.0,"HOLUDUNGA BEEL NEAR GAI
NADI/ RIVER AT SOMARAJAN, DHEMA JI",LAKE,ASSAM,20.0,27.0,5.0,9.0,7.1,7.8,68.0,94.0,1.8,2.4,0.5,0.9,300.0,730.0,700.0,2000.0,2020
10,3789.0,"BORDOIBAM BEELMUKH BIRD
SANCTUARY, DHEMAJI",LAKE,ASSAM,20.0,25.0,5.0,7.6,7.0,8.0,189.0,218.0,1.3,2.6,0.7,1.4,300.0,730.0,700.0,2000.0,2020
11,3798.0,"SAMAGURI BEEL IN NAGAON
DISTRICT",LAKE,ASSAM,17.0,35.0,4.1,5.8,7.0,7.6,89.0,116.0,1.3,2.8,0.7,1.2,300.0,730.0,360.0,1500.0,2020
12,3800.0,"MALINI BEEL NEAR INDUTRIAL
AREA AT RAMNAGAR",LAKE,ASSAM,20.0,25.0,4.0,4.5,6.2,7.4,126.0,152.0,2.1,2.6,0.7,1.1,300.0,360.0,360.0,1500.0,2020
13,3804.0,"SON BEEL WATER AT
KARIMGANJ",LAKE,ASSAM,21.0,25.0,4.1,5.8,6.8,7.3,106.0,150.0,1.3,2.3,0.6,1.3,300.0,720.0,720.0,2000.0,2020
14,3808.0,PARASHALI BEEL AT DEMORIA,LAKE,ASSAM,21.0,36.0,4.0,8.5,6.4,7.7,96.0,148.0,1.6,2.7,0.7,2.0,300.0,910.0,720.0,2100.0,2020
15,3812.0,"KAMALPUR BEEL, KAMALPUR",LAKE,ASSAM,18.0,35.0,1.4,5.6,7.0,7.7,1139.0,1168.0,22.5,29.2,1.6,4.6,360.0,1100.0,1400.0,3500.0,2020
16,3814.0,"SILSAKO BEEL, CHACHAL,
GUWAHATI",LAKE,ASSAM,20.0,34.0,0.3,2.4,6.9,7.8,480.0,530.0,13.0,16.3,1.1,2.2,1100.0,2900.0,2700.0,4400.0,2020
